Country,City,Location_ID,Location_Name,Type_of_Attraction,Attraction_Category,Latitude,Longitude,Date,Avg_Daily_Pedestrian_Count,Holiday,Weather_Temperature_Avg,Weather_Wind_Speed_Avg,Weather_Precipitation_Sum,Weather_Relative_Humidity_Avg
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-01,1673.0,1.0,2.0339997,20.099998,0.0,92.18573
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-02,3014.0,0.0,1.5256668,21.119999,0.70000005,92.40616
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-03,3050.0,0.0,2.0298333,24.945,1.2,91.87333
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-04,3444.0,0.0,3.5714996,33.120007,2.3999999,86.95858
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-05,3373.0,0.0,2.9215,28.800003,3.0,91.68131
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-06,4707.0,0.0,0.55275005,13.844997,0.1,94.124054
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-07,6841.0,0.0,0.8756666,20.609999,1.3000001,93.066895
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-08,6081.0,0.0,-0.82016665,20.28,0.0,84.95696
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-09,6682.0,0.0,0.40483335,21.9,0.0,79.73566
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-10,6800.0,0.0,4.4652495,33.164997,0.0,95.00295
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-11,8233.0,0.0,8.767333,49.815,9.099999,91.86817
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-12,8997.0,0.0,6.8839993,20.775,10.2,93.55067
